insightId,noun,verb,adjective,insight,isIine,goodCount
1140,機械,守る,はやい,災害時に迅速に命を守る機会,false,0
1139,キウイフルーツ,飾る,かっこいい,食べることから、飾ることを目的にしたキウイフルーツ,false,0
1138,健康,走る,遅い,遅く走っても健康になる,false,0
1137,靴,守る,かっこいい,100km歩いても全く疲れない、歩く人を守るかっこいい靴,false,0
1136,コーラ,飛ぶ,面白い,振ると面白いほど飛距離が出るコーラ,false,0
1135,機械,走る,短い,短い距離しか走れない機械,false,0
1134,車,作る,きれい,走るだけで町をきれいにする車を作る,false,0
1133,AR,学ぶ,かっこいい,かっこよく学べるAR学習コンテンツ,false,0
1132,電動車いす,飾る,遠い,遠いところまで行けるデコられた電動車いす,false,0
1131,空,実現する,かっこいい,空中に浮くかっこいい本を実現する,false,0
1130,ドローン,寝る,短い,寝たままでモノを取ってこれるドローン,false,0
1129,車,震える,気持ちいい,低周波マッサージで乗っている人が気持ちよくなる車,false,0
1128,国,歩く,早い,早く歩くことによって、ポイントが溜まる国,false,0
1127,服,寝る,恐ろしい,恐ろしい夢を見なくなる寝具,false,0
1126,海,なくす,きれい,海からゴミをなくしきれいにする,false,0
1125,スピーカー,学ぶ,はやい,速習英会話アプリ,false,0
1124,コーラ,震える,悲しい,飲むと悲しい時の記憶がよみがえるコーラ,false,0
1123,空,教育する,きれい,空気の綺麗さを失わないよう教育をする,false,0
